
2024/05/04 (18:20:36) | ===> btop++ v.1.3.2
2024/05/04 (18:20:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/23 (15:15:24) | ===> btop++ v.1.3.2
2024/06/23 (15:15:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/23 (15:15:43) | ===> btop++ v.1.3.2
2024/06/23 (15:15:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/29 (08:09:34) | ===> btop++ v.1.4.0
2024/11/29 (08:09:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/01 (22:06:05) | ===> btop++ v.1.4.0
2024/12/01 (22:06:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/06 (07:21:04) | ===> btop++ v.1.4.0
2024/12/06 (07:21:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/29 (13:08:44) | ===> btop++ v.1.4.0
2024/12/29 (13:08:44) | WARNING: Failed to set locale UTF-8 continuing anyway.
